State,City,Pincode,First Mile (TRUE/FALSE),Last Mile (TRUE/FALSE),Reverse Pickup (TRUE/FALSE),Route Code,COD Limit,Prepaid Limit,Doorstep Return (TRUE/FALSE),Doorstep QC (TRUE/FALSE),Pickup CutOff (11:30/17:00),Installation (TRUE/FALSE)
Delhi,East Delhi,110105,True,True,,,,,False,True,,False
Delhi,East Delhi,110106,True,True,,,,,False,True,,False
Delhi,East Delhi,110107,True,True,,,,,False,True,,False
Delhi,East Delhi,110108,True,True,,,,,False,True,,False
Delhi,East Delhi,110109,True,True,,,,,False,True,,False
Delhi,East Delhi,110110,True,True,,,,,False,True,,False
Delhi,East Delhi,110112,True,True,,,,,False,True,,False
Delhi,East Delhi,110113,True,True,,,,,False,True,,False
Delhi,East Delhi,110114,True,True,,,,,False,True,,False
Delhi,East Delhi,110115,True,True,,,,,False,True,,False
Delhi,East Delhi,110116,True,True,,,,,False,True,,False
Delhi,East Delhi,110117,True,True,,,,,False,True,,False
Delhi,East Delhi,110118,True,True,,,,,False,True,,False
Delhi,East Delhi,110119,True,True,,,,,False,True,,False
Delhi,East Delhi,110120,True,True,,,,,False,True,,False
Delhi,Delhi,110121,True,True,,,,,False,True,,False
Delhi,East Delhi,110122,True,True,,,,,False,True,,False
Delhi,East Delhi,110124,True,True,,,,,False,True,,False
Delhi,East Delhi,110125,True,True,,,,,False,True,,False
Delhi,East Delhi,110301,True,True,,,,,False,True,,False
Delhi,East Delhi,110302,True,True,,,,,False,True,,False
Delhi,Delhi,110401,True,True,,,,,False,True,,False
Delhi,Delhi,110402,True,True,,,,,False,True,,False
Delhi,Delhi,110403,True,True,,,,,False,True,,False
Delhi,East Delhi,110501,True,True,,,,,False,True,,False
Delhi,East Delhi,110502,True,True,,,,,False,True,,False
Delhi,East Delhi,110503,True,True,,,,,False,True,,False
Delhi,East Delhi,110504,True,True,,,,,False,True,,False
Delhi,Delhi,110505,True,True,,,,,False,True,,False
Delhi,Delhi,110506,True,True,,,,,False,True,,False
Delhi,Delhi,110507,True,True,,,,,False,True,,False
Delhi,Delhi,110508,True,True,,,,,False,True,,False
Delhi,Delhi,110509,True,True,,,,,False,True,,False
Delhi,East Delhi,110510,True,True,,,,,False,True,,False
Delhi,East Delhi,110511,True,True,,,,,False,True,,False
Delhi,East Delhi,110512,True,True,,,,,False,True,,False
Delhi,East Delhi,110601,True,True,,,,,False,True,,False
Delhi,East Delhi,110602,True,True,,,,,False,True,,False
Delhi,East Delhi,110603,True,True,,,,,False,True,,False
Delhi,East Delhi,110604,True,True,,,,,False,True,,False
Delhi,East Delhi,110605,True,True,,,,,False,True,,False
Delhi,East Delhi,110606,True,True,,,,,False,True,,False
Delhi,East Delhi,110607,True,True,,,,,False,True,,False
Delhi,East Delhi,110608,True,True,,,,,False,True,,False
